"","LIBNAME","STABR","C_LEGBAS","POPU_LSA","CENTLIB","BRANLIB","BKMOB","MASTER","LIBRARIA","TOTINCM","CAP_REV","PRMATEXP","ELMATEXP","OTHMATEX","CAPITAL","BKVOL","EBOOK","VIDEO_PH","AUDIO_PH","VIDEO_DL","AUDIO_DL","VISITS","REGBOR","ELMATCIR","PHYSCIR","KIDCIRCL","PITUSR","LOANTO","LOANFM"
"145","LAWRENCE COUNTY PUBLIC LIBRARY","AL","CO",30608,1,0,0,0,1,157574,0,1992,5045,44,0,18161,56286,1343,640,0,12660,16135,13289,4871,13155,4852,1110,1,0
"146","BALDWIN COUNTY LIBRARY COOPERATIVE","AL","CO",102040,1,0,1,0,3,310021,0,9000,27500,55470,0,10235,56286,3101,53,821,12660,10000,2316,2831,6935,4967,14170,2380,2818
"147","DAPHNE PUBLIC LIBRARY","AL","CI",27719,1,0,0,6,7,1208716,40000,58131,8498,17000,40000,65646,56286,8479,6330,821,12660,102903,14589,33634,164657,69450,3106,35,33
"148","FAIRHOPE PUBLIC LIBRARY","AL","CI",23584,1,0,0,3,6,930410,1150,74156,26390,14428,184744,74845,60589,4146,5576,821,12660,156951,19876,30320,160564,71242,11020,8628,18770
"149","FOLEY PUBLIC LIBRARY","AL","CI",21446,1,0,0,1,3,1126338,600000,46250,17000,32000,15000,87830,56286,8872,5112,821,12660,137258,16302,68684,311305,109726,20386,52,23
"150","BAY MINETTE PUBLIC LIBRARY","AL","CI",9509,1,0,0,1,7,491230,0,34082,10266,2624,0,34044,57178,2136,1390,0,13023,21809,6168,12737,57040,18104,4443,237,132
"151","LOXLEY PUBLIC LIBRARY","AL","CI",3329,1,0,0,0,1.3,79657,0,4727,301,755,0,8437,56314,1295,358,821,12666,5633,1175,1622,8783,3420,570,21,0
"152","OSCAR JOHNSON MEMORIAL LIBRARY","AL","CI",1285,1,0,0,0,0,5150,0,1500,0,0,0,10000,0,925,450,0,0,1848,200,0,2605,1375,5,0,0
"153","ROBERTSDALE PUBLIC LIBRARY","AL","CI",7030,1,0,0,0,1,407665,0,58830,1500,10501,0,34092,56286,1263,3730,0,12660,55534,6174,7107,36560,14523,4679,102,0
"154","GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY","AL","CI",13166,1,0,0,2,8,751549,0,17805,21967,10076,0,40369,44949,4427,4441,29552,8820,39971,11447,22550,49809,10840,5119,129,8
"155","ADAMSVILLE PUBLIC LIBRARY","AL","CI",4211,1,0,0,0,1,77477,0,10609,0,1148,0,15954,67362,1029,538,0,33227,5078,1634,2776,8820,3221,2047,2611,2329
"156","BESSEMER PUBLIC LIBRARY","AL","CI",26043,1,0,0,1,3,1152386,0,28600,8602,920,0,32159,67362,1613,1507,0,33227,20798,12457,14826,22797,6509,9950,5000,1892
"157","MOUNTAIN BROOK - EMMET O`NEAL LIBRARY","AL","CI",20034,1,0,0,13,13,3701743,0,194235,166046,48074,39170,108994,199893,7983,7389,881649,228096,147398,10022,86475,348408,225720,5954,25442,21143
"158","FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY","AL","CI",10457,1,0,0,1,2,70727,0,597,0,0,0,12758,67362,991,127,0,33227,1200,2913,549,1342,460,881,402,500
"159","FULTONDALE PUBLIC LIBRARY","AL","CI",9269,1,0,0,0,1,475007,0,24000,0,7500,0,24003,67362,4013,702,0,33227,45000,2939,6156,11538,3713,4039,1852,2179
"160","GARDENDALE - MARTHA MOORE PUBLIC LIBRARY","AL","CI",14113,1,0,0,1,11.9,729006,0,19675,5481,4880,0,46384,67334,1029,538,0,33863,58579,8240,23946,91697,45810,9576,2727,13396
"161","GRAYSVILLE PUBLIC LIBRARY","AL","CI",2066,1,0,0,0,1,79763,0,3895,0,0,0,15268,67362,719,492,0,33227,13650,1216,3174,7685,1565,1247,990,5290
"162","HOMEWOOD PUBLIC LIBRARY","AL","CI",25174,1,0,0,8,28.6,3057465,680418,113734,134599,22083,647144,79859,1850242,14529,8866,54786,772582,121097,18840,163441,329231,223973,16061,24956,25918
"163","HOOVER PUBLIC LIBRARY","AL","CI",85959,1,0,0,29.68,37.06,7816925,100000,254044,367822,69101,99992,190567,119366,18243,11381,14516,100536,339476,46035,343129,949523,574301,30019,31011,58049
"164","HUEYTOWN PUBLIC LIBRARY","AL","CI",15202,1,0,0,0,2,173815,20000,11567,0,0,0,21133,96713,1439,326,0,53669,12701,4207,7180,22431,7220,8052,2631,3416
"165","IRONDALE PUBLIC LIBRARY","AL","CI",13226,1,0,0,3,3,624788,0,67048,23589,7402,0,38842,94935,2764,1465,1700,89981,12720,3373,14800,46403,21831,5524,9658,8660
"166","LEEDS - JANE CULBRETH LIBRARY","AL","CI",12026,1,0,0,1,3,337359,0,10466,8796,5645,0,25479,47514,3533,989,221,20242,10840,4830,17774,28058,15337,950,4583,9560
"167","MIDFIELD PUBLIC LIBRARY","AL","CI",4955,1,0,0,0,1,19241,0,10422,0,0,10285,13024,111743,1485,7,0,48019,3232,2325,968,558,355,2459,270,94
"168","PLEASANT GROVE PUBLIC LIBRARY","AL","CI",9578,1,0,0,0,2,167350,0,12966,1000,9255,0,18334,67362,2097,1212,0,33227,19040,2576,4969,15351,5720,2940,2514,1658
"169","TARRANT PUBLIC LIBRARY","AL","CI",6081,1,0,0,1,2,157262,0,6215,0,3501,0,22294,67362,1246,470,0,33227,10244,1463,1021,22739,8771,3318,4671,2052
"170","TRUSSVILLE PUBLIC LIBRARY","AL","CI",23048,1,0,0,4,7,1609628,25000,93776,57893,27784,24907,65775,67362,9310,4593,33227,33227,57891,10014,54625,229949,135171,8477,17357,19786
"171","VESTAVIA HILLS LIBRARY IN THE FOREST","AL","CI",34317,1,0,0,3,6,2609016,119119,90660,131123,45323,35908,70319,93453,10995,6675,5100,53561,282470,17971,156241,299516,168116,9395,23325,22085
"172","WARRIOR PUBLIC LIBRARY","AL","CI",3190,1,0,0,0,1,148688,0,16859,4200,5943,0,13981,67362,1569,705,0,33227,12602,3111,10386,20595,9026,2479,2049,4570
"173","BIRMINGHAM PUBLIC LIBRARY","AL","CI",206950,1,17,0,37,37,14061271,0,272966,223916,133287,0,599402,103523,44996,28318,31010,70906,632417,107914,200832,338948,117625,100644,85476,40597
"174","FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY","AL","MJ",58724,1,0,0,2,5,315547,0,50000,6000,6000,0,81113,56286,2770,5428,2725,21617,15807,26691,10341,26881,2095,7258,107,7
"175","COLLINSVILLE PUBLIC LIBRARY","AL","CI",1938,1,0,0,0,0.75,97244,0,4227,82,457,0,8898,43722,1000,32,680,8783,3500,1265,50,2353,704,1200,0,33
"176","GERALDINE PUBLIC LIBRARY","AL","CI",896,1,0,0,0,1.5,57644,0,1612,0,0,0,39249,43722,1645,1205,304,8783,2655,2976,667,6043,1463,1479,0,0
"177","RAINSVILLE PUBLIC LIBRARY","AL","CI",5149,1,0,0,1,4,223649,0,8419,0,3874,0,56996,56286,3099,3094,0,12660,16162,12009,3207,32294,18106,1740,18,1
"178","ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM","AL","CO",20814,1,0,0,0,1,88724,0,6118,39842,0,0,4883,56286,17,0,0,12660,0,422,3982,2008,1192,520,636,0
"179","ATMORE PUBLIC","AL","CI",8949,1,0,0,0,5,340838,0,7906,3153,41602,0,41571,56286,912,1011,0,12660,35000,13544,4203,38264,6349,3868,0,0
"180","BREWTON PUBLIC LIBRARY","AL","CI",5141,1,0,0,0,1,586887,0,55757,2600,13541,0,66190,56286,10699,4403,0,12660,19136,20694,12701,29513,3338,6582,0,0
"181","FLOMATON PUBLIC LIBRARY","AL","CI",1377,1,0,0,0,3,191877,0,6575,39490,0,0,29174,56286,566,1387,0,12660,6714,8112,672,11023,3137,34512,0,0
"182","GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY","AL","MJ",66102,1,2,0,3,5,1438977,0,47010,11133,3384,0,80125,56286,2760,2176,455,12660,89179,14343,18345,62240,18405,21177,97,556
"183","ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY","AL","CI",5832,1,0,1,0,2,248994,0,7232,12000,0,0,18843,56286,0,57,0,12660,8750,7999,1070,2212,345,1390,0,0
"184","RAINBOW CITY PUBLIC LIBRARY","AL","CI",9603,1,0,0,1,1,453828,0,43995,24070,3071,0,47765,61696,3051,2711,0,12786,44608,9506,15198,56765,33192,2766,11,1
"185","DEMOPOLIS PUBLIC LIBRARY","AL","CC",11710,1,0,0,0,5,340151,0,27757,3400,3590,0,28147,3160,3030,1055,0,1128,30087,4813,4985,19343,11583,3177,248,77
"186","MARENGO COUNTY PUBLIC LIBRARY","AL","CO",7023,1,0,0,0,0.75,120317,0,15761,0,2182,0,10663,0,0,359,0,0,5291,1349,0,7857,290,1236,0,2
"187","MARSHALL COUNTY COOPERATIVE LIBRARY","AL","CO",47523,0,0,1,1,1,67896,0,13914,0,0,0,15025,0,0,465,0,0,4542,1500,0,22134,7015,0,0,0
"188","ARAB PUBLIC LIBRARY","AL","CI",8406,1,0,0,0,1,357579,800,22748,3000,3079,800,48551,56286,2589,1651,821,12660,13200,16741,10964,33564,15399,2255,0,27
"189","BOAZ PUBLIC LIBRARY","AL","CI",9706,1,0,0,0,1,517897,9750,46935,14230,5600,9750,62260,62387,4203,2102,2186,15312,36044,19272,19826,80409,45222,6468,0,0
"190","GUNTERSVILLE PUBLIC LIBRARY","AL","CI",8676,1,0,0,2,3,433157,0,18084,7782,2153,0,36981,8702,3805,1455,0,5295,31200,10832,7630,38278,15441,3700,32,112
"191","ALBERTVILLE PUBLIC LIBRARY","AL","CI",21777,1,0,0,0,1,363758,15472,19124,3233,7598,15472,44336,39197,2674,2931,658,7221,12032,15439,13243,14884,4955,2608,0,0
"192","HARRISON REGIONAL LIBRARY SYSTEM","AL","CO",46094,1,2,0,0,3,337694,0,500,2601,22063,0,21497,50347,3358,685,661,12995,476,914,117906,6590,11036,367,1417,18690
"193","ALABASTER - ALBERT L. SCOTT LIBRARY","AL","CI",33701,1,0,0,5,9.13,886732,0,80255,17262,14511,0,47415,65587,5140,1337,2158,14724,48180,13022,143210,141255,73950,4749,6222,4581
"194","CALERA PUBLIC LIBRARY","AL","CI",15248,1,0,0,1,2,429114,4373,30453,23333,932,88845,43544,50347,6894,1459,837,12995,19344,7725,24608,37950,24816,2143,4601,3217
"195","COLUMBIANA PUBLIC LIBRARY","AL","CI",4682,1,0,0,1,3,272795,0,29312,1000,5157,0,38676,50347,3628,2791,661,12995,14528,4698,121857,37727,26764,2444,5705,4280
"196","HELENA - JANE B. HOLMES PUBLIC LIBRARY","AL","CI",20374,1,0,0,0,1,384225,18000,15187,700,3870,18000,31279,50347,7732,3343,661,12995,20227,6795,120088,63192,48576,1161,5265,2640
"197","VINCENT - LALLOUISE F. MCGRAW LIBRARY","AL","CI",2223,1,0,0,0,1,68322,3000,3697,0,0,2232,9437,50347,1178,339,0,12995,2909,638,117943,2575,9871,2109,391,327
"198","MONTEVALLO - PARNELL MEMORIAL LIBRARY","AL","CI",7098,1,0,0,1,2,323927,0,11061,1046,1120,0,25292,50347,3887,664,1000,12995,20529,4750,119563,27018,25450,2209,3224,2070
"199","PELHAM PUBLIC LIBRARY","AL","CI",24231,1,0,0,7,10,1125715,0,43371,21094,10838,0,59346,807110,11457,4474,25965,536094,132757,13982,30449,166057,77349,8833,5339,7613
"200","WILSONVILLE - VERNICE STOUDENMIRE LIBRARY","AL","CI",2069,1,0,0,0,1,46614,0,15559,0,49,0,9085,50347,855,46,0,12995,1800,574,117961,4523,11231,243,641,673
"201","NORTH SHELBY LIBRARY","AL","CI",51100,1,1,0,6,6,1390089,0,71681,27813,21031,91979,67338,57628,10054,4036,1234,16990,61735,20426,177149,220728,148399,5687,13714,6969
"202","ALICEVILLE PUBLIC LIBRARY","AL","CI",2231,1,0,0,0,0.8,110541,35000,12041,0,3000,35000,17526,0,1439,731,0,0,5700,1572,0,4583,530,806,18,15
"203","CARROLLTON PUBLIC LIBRARY","AL","CI",935,1,0,0,0,0.75,26463,0,750,0,0,0,21200,0,1866,720,0,0,6760,5410,0,15615,5865,5250,9,8
"204","GORDO - RUTH HOLLIMAN MEMORIAL PUBLIC LIBRARY","AL","CI",1594,1,0,0,0,1.9,55853,0,2035,0,0,0,15349,0,574,3,0,0,3956,3588,0,6340,2343,1570,6,9
"205","REFORM PUBLIC LIBRARY","AL","CI",1546,1,0,0,0,0.75,47581,0,1237,0,195,0,18845,0,301,280,0,0,3840,3648,0,12,3,988,4,12
"206","MCCAIN MEMORIAL PUBLIC LIBRARY","AL","CI",9153,1,0,0,0,0.75,116420,0,9130,1579,4455,0,14090,47887,1503,489,0,9024,5773,3191,2084,9903,4943,663,1,10
"207","MOODY - DORIS STANLEY MEMORIAL LIBRARY","AL","CI",20049,1,0,0,1,1,236250,0,10829,5879,1643,0,19525,56561,1582,876,821,12668,12363,6481,4096,17693,9443,7335,0,60
"208","ODENVILLE PUBLIC LIBRARY","AL","CI",10642,1,0,0,0,1.6,95975,0,6312,3506,0,0,14275,58562,577,140,0,13048,7680,1409,2575,3129,476,264,0,0
"209","PELL CITY PUBLIC LIBRARY","AL","CI",23428,1,0,0,1,5,518410,0,31737,10422,7769,0,42115,8450,2115,2245,0,4665,58125,14914,14582,57252,22703,23570,135,810
"210","YORK - HIGHTOWER MEMORIAL LIBRARY","AL","CI",5654,1,0,0,0.25,1.5,49716,0,5929,0,0,0,10550,0,4,15,0,0,5733,731,0,1759,902,1243,0,0
"211","LIVINGSTON - RUBY PICKENS TARTT PUBLIC LIBRARY","AL","CI",6571,1,0,0,0.5,1.25,158168,0,15717,0,1893,0,30815,0,348,1373,0,0,9854,2679,0,10588,3191,902,214,11
"212","ANNISTON - CALHOUN COUNTY PUBLIC LIBRARY","AL","MJ",72914,1,1,1,4,6.5,1027664,0,37353,11366,29210,0,81333,48043,4197,2290,0,9042,80775,26667,17957,89830,31859,35397,21,10
"213","JACKSONVILLE PUBLIC LIBRARY","AL","CI",12972,1,0,0,2,7.73,639018,0,50257,29227,7611,0,49859,58469,3978,888,1243,16344,33826,6438,7846,31426,16673,2768,188,6
"214","PIEDMONT PUBLIC LIBRARY","AL","CI",4470,1,0,0,0,1,135963,0,20039,1500,150,0,16917,56991,600,300,0,12764,36200,1626,2020,11402,2584,2450,0,0
"215","AKRON PUBLIC LIBRARY","AL","CI",1739,1,0,0,0,1,31963,0,2000,10000,2000,0,825,0,900,150,0,0,312,5,0,2869,1132,150,0,0
"216","DOTHAN HOUSTON COUNTY LIBRARY SYSTEM","AL","MJ",106580,1,2,1,1,5,1726703,0,40283,97799,18171,0,108420,6265,9485,2758,0,2701,283841,55235,43622,142692,73772,14107,0,0
"217","BLOUNTSVILLE PUBLIC LIBRARY","AL","CI",14062,1,0,0,0,1,154476,0,12153,0,137,0,13283,0,390,145,0,0,23000,8149,0,11193,2514,3700,0,0
"218","CHEROKEE PUBLIC LIBRARY","AL","MJ",5295,1,0,0,0,1,31716,0,5500,200,1400,0,16189,11350,417,118,0,0,1150,2377,40,3336,1031,314,0,0
"219","BRENT - CENTREVILLE PUBLIC LIBRARY","AL","MJ",18280,1,0,0,0,0.97,65081,0,8030,2000,75,0,20001,43722,801,258,0,8783,15658,6756,1967,10978,3762,2041,0,0
"220","CHILTON - CLANTON PUBLIC LIBRARY","AL","MJ",44397,1,2,0,1,1,264208,0,23060,6431,2106,0,50429,56939,2283,539,0,12897,26356,12012,4866,32341,12233,2137,0,0
"221","CHOCTAW COUNTY PUBLIC LIBRARY","AL","MJ",12418,1,1,0,0,0.6,173402,0,3750,3000,0,0,60955,60589,966,756,821,12660,4281,3182,1989,2105,479,563,1,0
"222","CITRONELLE MEMORIAL LIBRARY","AL","CI",3873,1,0,0,0,1.53,95044,0,9188,0,171,0,13137,50682,164,75,764,10331,7910,2196,907,10638,1758,932,0,0
"223","GROVE HILL PUBLIC LIBRARY","AL","CI",6121,1,0,0,0,1,80961,0,3012,3000,0,0,13217,56286,327,165,0,12660,3892,3978,1858,2224,916,1123,0,0
"224","HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY","AL","MJ",379453,1,9,1,13,38.5,7866724,111480,379538,380915,75507,49545,351467,21169,68037,23134,12963,22675,1132739,143886,261312,2335908,1392618,61812,153,369
"225","EUTAW - JAMES C. POOLE JR. MEMORIAL LIBRARY","AL","CO",7990,1,0,0,0,1,108021,0,3412,0,0,0,15680,0,160,86,0,0,2350,1711,0,487,52,1026,0,0
"226","GREENVILLE - BUTLER COUNTY PUBLIC LIBRARY","AL","MJ",19504,1,0,0,2,3,274280,0,10625,3000,906,0,18009,41000,1370,567,710,7734,15600,10453,5106,9726,2180,2456,0,0
"227","HALE COUNTY LIBRARY","AL","MJ",6310,1,0,0,0,0.73,40879,0,2908,0,20,0,9737,200,462,478,0,0,4023,5177,0,4599,1011,1007,0,1
"228","CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY","AL","CI",5659,1,0,0,0,1,98874,0,7146,944,781,0,16883,36,1001,147,0,50,4763,1139,9,3329,1467,1650,184,194
"229","JACKSON - WHITE SMITH MEMORIAL LIBRARY","AL","CI",8993,1,0,0,0,2,387557,0,10024,3000,2246,0,22229,56286,1065,543,821,12660,8097,12643,2074,4678,1651,2015,0,8
"230","MARION - PERRY COUNTY PUBLIC LIBRARY","AL","MJ",5142,1,0,0,0,0.9,54475,0,10332,2821,0,0,15689,44812,1053,148,795,8952,4277,4204,793,3528,2023,601,0,0
"231","WOODVILLE PUBLIC LIBRARY","AL","CI",719,1,0,0,0,1,52224,0,9741,0,1103,0,13158,0,170,11,0,0,3181,1124,0,2847,1559,340,0,0
"232","CITY OF BAYOU LA BATRE PUBLIC LIBRARY","AL","CI",2457,1,0,0,0,1,48355,0,8567,0,0,0,21457,0,0,0,0,0,25000,8641,0,11690,10024,8659,0,0
"233","SCOTTSBORO PUBLIC LIBRARY","AL","MJ",36784,1,0,0,0,3,212072,0,11962,6000,3272,0,39486,197807,1758,3073,22495,342253,34271,8019,12681,20843,8104,862,0,0
"234","ONEONTA PUBLIC LIBRARY","AL","MJ",43817,1,0,0,1,6,470971,0,18877,9111,5040,0,33872,8585,3912,2336,0,5295,30370,22165,7885,45668,13217,6839,57,49
"235","THOMASVILLE PUBLIC LIBRARY","AL","CI",8177,1,0,0,0,4,289669,0,8425,3250,3799,29379,15805,56293,2352,345,821,12665,37302,7659,3980,14783,4926,4294,0,0
"236","MACON COUNTY - TUSKEGEE PUBLIC LIBRARY","AL","MJ",17895,1,0,0,1,1,170885,25000,16300,3500,7550,0,14307,46912,2527,215,41,24225,175,5316,146,421,289,132,0,0
"237","MOUNDVILLE PUBLIC LIBRARY","AL","CI",5789,1,0,0,0,1,76326,0,2651,0,3850,0,12256,49265,0,0,0,0,7000,4491,54,13236,5987,1579,0,0
"238","UNIONTOWN PUBLIC LIBRARY","AL","CI",3545,1,0,0,1,1,23589,0,810,14395,1750,0,13562,0,170,170,0,20,500,850,170,842,431,40,0,0
"239","PRICHARD PUBLIC LIBRARY","AL","CI",21294,1,1,0,0,3,157903,0,7381,0,0,0,72100,0,780,926,0,0,1300,29720,0,550,300,780,0,0
"240","WASHINGTON COUNTY PUBLIC LIBRARY","AL","CO",15976,1,1,1,1,1,377188,0,16638,9300,0,770,40439,740366,431,2460,25748,183772,30943,10754,1338,13957,7753,2632,0,0
"241","EVERGREEN PUBLIC LIBRARY","AL","MJ",11851,1,0,0,0,1,331476,0,8438,0,5166,0,39314,0,300,1525,0,0,6892,8337,0,39314,8433,1670,0,0
"242","MOBILE PUBLIC LIBRARY","AL","MJ",371723,1,8,1,22,24.5,10092775,0,791791,488877,165835,0,405032,709095,68369,46159,93444,176272,607307,154580,265720,1148588,398226,166418,1406,466
"243","MONTGOMERY CITY-COUNTY PUBLIC LIBRARY","AL","MJ",224639,1,9,1,20,33,5790110,0,309387,270041,206408,0,485599,727602,19155,118540,25971,175373,255556,135039,310188,255794,130088,77604,322,312
"244","WHITE HALL PUBLIC LIBRARY","AL","CI",2053,1,0,0,1,1,13098,0,609,0,27,0,13234,0,228,424,0,0,156,125,0,60,50,152,0,0
"245","STEVENSON PUBLIC LIBRARY","AL","CI",5097,1,0,0,0,1,20343,0,1253,0,763,0,13433,0,523,0,0,0,3536,4065,0,4912,1215,3120,0,0
"246","KILLEN PUBLIC LIBRARY","AL","CI",962,1,0,0,1,1,93081,0,21364,1780,3299,0,25987,24,895,598,0,20,4576,3084,7,10131,2148,836,0,0
"247","LEXINGTON - BURCHELL CAMPBELL MEMORIAL LIBRARY","AL","CI",711,1,0,0,0,1,18154,0,1660,0,150,0,14000,0,1059,300,0,0,2841,2038,1148,18832,4898,800,0,0
"248","AUTAUGA - PRATTVILLE PUBLIC LIBRARY","AL","MJ",56145,1,3,0,4,4,663391,0,64672,40229,8137,0,79444,789798,4368,2093,26596,530910,62905,32024,35520,203124,127756,7031,92,4
"249","FAYETTE COUNTY MEMORIAL LIBRARY","AL","CO",16241,1,0,0,2,2.7,188618,0,14619,3313,2053,0,19522,56286,2306,146,0,12660,15402,5769,3537,24840,11185,1709,0,11
"250","PHENIX CITY - RUSSELL COUNTY PUBLIC LIBRARY","AL","MJ",58237,1,0,0,1,1,497872,0,31968,9968,8468,0,48985,60589,3045,761,821,12660,33451,52258,2905,25554,13065,4478,190,34
"251","SELMA - DALLAS COUNTY PUBLIC LIBRARY","AL","MJ",36098,1,0,0,1,8.75,761609,0,43898,1942,617,0,52251,56289,642,1122,821,12663,92060,39978,5103,21030,7518,34405,0,10
"252","TUSCALOOSA PUBLIC LIBRARY","AL","MJ",210758,1,2,1,12.48,20.48,3788408,90400,212464,341410,64465,20485,170718,26614,22934,13065,4364,26096,503907,60238,188815,458030,243809,220046,39,142
"253","WILCOX COUNTY LIBRARY","AL","CO",10206,1,2,0,0,2,172381,0,3473,88,0,0,31442,80,361,383,0,0,2088,6112,577,6331,3322,1503,0,0
"254","MONROE COUNTY PUBLIC LIBRARY","AL","NP",20459,1,0,0,0,1,152999,0,11290,4254,19015,0,34564,58646,1931,476,0,13047,9891,9471,1774,7037,1181,1492,0,0
"255","CULLMAN COUNTY PUBLIC LIBRARY","AL","MJ",84515,1,4,1,3.5,4.5,615504,0,23399,23585,2047,0,64322,48245,17646,4285,655,9718,220124,29974,28289,83583,31744,9884,33,30
"256","VALLEY - H. GRADY BRADSHAW / CHAMBERS COUNTY LIBRARY","AL","CO",32865,1,1,0,2,2,1079595,0,20636,30267,4178,0,71086,57190,7254,1838,29990,13233,30546,35098,14782,41947,23189,5686,0,10
"257","HOKES BLUFF PUBLIC LIBRARY","AL","CI",4240,1,0,0,1,1,87000,0,9044,0,0,0,12894,56286,534,340,2158,12660,11016,7021,895,6792,1922,831,0,0
"258","RAGLAND PUBLIC LIBRARY","AL","CI",8475,1,0,0,0,0.68,69989,0,10917,2726,2066,0,18902,0,1750,630,0,0,1666,2081,0,3091,855,861,0,0
"259","HAYNEVILLE - LOWNDES COUNTY PUBLIC LIBRARY","AL","MJ",5126,1,0,0,1,1,49391,0,1000,0,0,0,27825,0,0,0,0,0,5870,1955,0,5119,1548,3850,0,0
"260","IDER PUBLIC LIBRARY","AL","CI",737,1,0,0,0,0.7,9529,0,828,0,0,0,8758,68946,1781,202,628,12660,3797,2159,173,1816,196,981,5,0
"261","EUFAULA CARNEGIE LIBRARY","AL","CI",13724,1,0,0,1,6,464553,0,19169,7988,4109,0,32705,737292,2354,1035,63434,528122,31074,8903,8084,13935,3780,2943,0,40
"262","GRANT PUBLIC LIBRARY","AL","CI",902,1,0,0,0,1,55391,0,5869,7968,4996,0,17030,700040,635,183,0,0,3150,1604,468,4518,2712,472,0,0
"263","DALEVILLE PUBLIC LIBRARY","AL","CI",7627,1,0,0,0,1,184768,0,19042,3000,3354,0,17127,57192,1854,1095,821,12660,16707,4182,1211,4877,2125,3576,41,0
"264","COURTLAND PUBLIC LIBRARY","AL","CI",1203,1,0,0,0,0.4,24812,0,3462,1500,562,0,12634,0,989,279,0,0,1095,1427,0,1351,610,1274,0,0
"265","EVA PUBLIC LIBRARY","AL","CI",943,1,0,0,0,1,17926,0,1000,800,5000,0,18321,0,2671,0,0,0,4611,2734,0,5827,4074,176,0,0
"266","CROSSVILLE PUBLIC LIBRARY","AL","CI",1847,1,0,0,0,1,80416,0,4077,0,0,0,10386,56286,138,332,821,12660,3315,2352,150,3863,451,337,0,0
"267","WALNUT GROVE - WESTSIDE PUBLIC LIBRARY","AL","MJ",692,1,0,0,0,1,24550,0,5098,0,350,0,13591,0,408,124,0,0,764,1454,0,508,85,450,0,0
"268","ORANGE BEACH PUBLIC LIBRARY","AL","CI",6343,1,0,0,4,6,682858,0,48448,11295,6700,0,39292,52388,3934,2959,821,11465,153368,10518,22082,110578,49983,5127,36,13
"269","SATSUMA PUBLIC LIBRARY","AL","CI",6206,1,0,0,0,2,183248,3508,14553,9078,0,0,18373,40620,180,8178,0,0,26700,8325,243,6400,2189,4680,0,0
"270","FALKVILLE PUBLIC LIBRARY","AL","CI",1701,1,0,0,0,1,28108,0,10002,0,0,0,15008,28000,118,128,0,0,3166,1278,0,3241,200,990,0,0
"271","SPRINGVILLE PUBLIC LIBRARY","AL","CI",11142,1,0,0,1,1,298950,0,18459,18747,3903,0,24262,51834,2653,2009,0,9843,18837,7946,5948,61680,45530,1238,0,0
"272","BRIDGEPORT - LENA CAGLE PUBLIC LIBRARY","AL","CI",5473,1,0,0,0,1.05,40979,0,1593,810,5295,0,7625,0,649,0,0,0,2414,1903,0,1459,317,804,0,0
"273","WEST BLOCTON PUBLIC LIBRARY","AL","CI",1228,1,0,0,0,1,27241,0,2275,0,0,0,9364,0,480,44,0,0,1230,2168,0,599,116,75,0,0
"274","CARBON HILL CITY LIBRARY","AL","CI",1885,1,0,0,0.4,0.4,43055,0,4009,1500,0,0,9215,56286,47,152,0,12660,878,525,268,722,83,16,0,0
"275","OHATCHEE PUBLIC LIBRARY","AL","CI",1148,1,0,0,0,1,55254,7250,9273,0,2783,7250,11851,0,359,1023,0,0,2154,873,0,4655,1634,502,0,4
"276","SOMERVILLE PUBLIC LIBRARY","AL","CI",1227,1,0,0,0,0.9,49267,0,3158,0,0,0,15964,0,964,196,0,0,3015,3072,0,917,259,512,0,0
"277","CHELSEA PUBLIC LIBRARY","AL","CO",14608,1,0,0,0,2.8,534500,10390,68680,27721,31221,10390,31564,52828,4771,4990,661,12995,25685,5489,184009,112450,79469,1833,11632,3910
"278","DUTTON PUBLIC LIBRARY","AL","CI",3509,1,0,0,0,1,35925,0,2313,0,0,26400,4438,0,0,0,0,0,1451,291,0,453,53,624,0,0
"279","FORT DEPOSIT PUBLIC LIBRARY","AL","CI",2462,1,0,0,1,1.4,8618,2000,0,0,3809,0,1515,0,0,0,0,0,100,305,0,1500,200,1,0,0
"280","SUMMERDALE - MARJORIE YOUNCE SNOOK PUBLIC LIBRARY","AL","CI",1792,1,0,0,0,1,169819,0,16013,3000,18466,0,23020,51550,1205,1335,690,10350,11010,1290,1866,25877,5990,7589,2670,1135
"281","CLAY PUBLIC LIBRARY","AL","CI",10042,1,0,0,0,2,187783,0,8129,0,0,0,4543,67362,1291,149,0,33227,18312,1861,4658,16079,12052,2835,812,10075
"282","ECLECTIC PUBLIC LIBRARY","AL","CI",1008,1,0,0,0,0.6,33597,0,1186,1500,0,0,11286,58427,890,199,0,13043,940,2359,674,3733,1007,517,0,0
"283","HOBSON CITY PUBLIC LIBRARY","AL","CI",749,1,0,0,0,1.5,36851,0,1500,0,1149,15,4922,169,420,3,170,0,1236,697,166,355,189,61,0,0
